,iob_tagged_data,intent,sentence,hindi,Tagged_Sentences
0,i:O want:O to:O fly:O from:O baltimore:B-fromloc.city_name to:O dallas:B-toloc.city_name round:B-round_trip trip:I-round_trip,atis_flight,i want to fly from baltimore to dallas round trip,मैं बाल्टीमोर से डलास तक की राउंड ट्रिप के लिए उड़ान भरना चाहता हूं,मैं:O बाल्टीमोर:B-fromloc.city_name से:O डलास:B-stoploc.city_name तक:O की:O राउंड:O ट्रिप:O के:O लिए:O उड़ान:O भरना:O चाहता:O हूं:O
1,round:B-round_trip trip:I-round_trip fares:O from:O baltimore:B-fromloc.city_name to:O philadelphia:B-toloc.city_name less:B-cost_relative than:O 1000:B-fare_amount dollars:I-fare_amount round:B-round_trip trip:I-round_trip fares:O from:O denver:B-fromloc.city_name to:O philadelphia:B-toloc.city_name less:B-cost_relative than:O 1000:B-fare_amount dollars:I-fare_amount round:B-round_trip trip:I-round_trip fares:O from:O pittsburgh:B-fromloc.city_name to:O philadelphia:B-toloc.city_name less:B-cost_relative than:O 1000:B-fare_amount dollars:I-fare_amount,atis_airfare,round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars,"बाल्टीमोर से फिलाडेल्फिया तक राउंड ट्रिप का किराया 1000 डॉलर से कम, डेनवर से फिलाडेल्फिया तक राउंड ट्रिप का किराया 1000 डॉलर से कम, पिट्सबर्ग से फिलाडेल्फिया तक राउंड ट्रिप का किराया 1000 डॉलर से कम","बाल्टीमोर:B-fromloc.city_name से:O फिलाडेल्फिया:O तक:O राउंड:O ट्रिप:O का:O किराया:I-transport_type 1000:B-fare_amount डॉलर:I-fare_amount से:O कम,:O डेनवर:B-toloc.city_name से:O फिलाडेल्फिया:O तक:O राउंड:O ट्रिप:O का:O किराया:I-transport_type 1000:B-fare_amount डॉलर:I-fare_amount से:O कम,:O पिट्सबर्ग:B-fromloc.city_name से:O फिलाडेल्फिया:O तक:O राउंड:O ट्रिप:O का:O किराया:I-transport_type 1000:B-fare_amount डॉलर:I-fare_amount से:O कम:B-cost_relative"
2,show:O me:O the:O flights:O arriving:O on:O baltimore:B-toloc.city_name on:O june:B-arrive_date.month_name fourteenth:B-arrive_date.day_number,atis_flight,show me the flights arriving on baltimore on june fourteenth,मुझे चौदह जून को बाल्टीमोर आने वाली उड़ानें दिखाओ,मुझे:O चौदह:O जून:B-depart_date.month_name को:O बाल्टीमोर:B-fromloc.city_name आने:O वाली:O उड़ानें:O दिखाओ:O
3,what:O are:O the:O flights:O which:O depart:O from:O san:B-fromloc.city_name francisco:I-fromloc.city_name fly:O to:O washington:B-toloc.city_name via:O indianapolis:B-stoploc.city_name and:O arrive:O by:B-arrive_time.time_relative 9:B-arrive_time.time pm:I-arrive_time.time,atis_flight,what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm,वे कौन सी उड़ानें हैं जो सैन फ्रांसिस्को से इंडियानापोलिस होते हुए वाशिंगटन के लिए उड़ान भरती हैं और रात 9 बजे तक पहुंचती हैं,वे:O कौन:O सी:B-fare_basis_code उड़ानें:O हैं:O जो:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name से:O इंडियानापोलिस:B-toloc.city_name होते:O हुए:O वाशिंगटन:B-toloc.city_name के:O लिए:O उड़ान:O भरती:O हैं:O और:O रात:B-depart_time.period_of_day 9:B-arrive_time.time बजे:I-depart_time.time तक:O पहुंचती:O हैं:O
4,which:O airlines:O fly:O from:O boston:B-fromloc.city_name to:O washington:B-toloc.city_name dc:B-toloc.state_code via:O other:O cities:O,atis_airline,which airlines fly from boston to washington dc via other cities,कौन सी एयरलाइंस अन्य शहरों से होते हुए बोस्टन से वाशिंगटन डीसी तक उड़ान भरती हैं,कौन:O सी:B-fare_basis_code एयरलाइंस:I-airline_name अन्य:O शहरों:O से:O होते:O हुए:O बोस्टन:B-fromloc.city_name से:O वाशिंगटन:B-toloc.city_name डीसी:B-toloc.state_code तक:O उड़ान:O भरती:O हैं:O
5,i'm:O looking:O for:O a:O flight:O from:O charlotte:B-fromloc.city_name to:O las:B-toloc.city_name vegas:I-toloc.city_name that:O stops:O in:O st.:B-stoploc.city_name louis:I-stoploc.city_name hopefully:O a:O dinner:B-meal_description flight:O how:O can:O i:O find:O that:O out:O,atis_flight,i'm looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out,मैं चार्लोट से लास वेगास के लिए एक उड़ान की तलाश कर रहा हूं जो सेंट में रुकती हो। ,मैं:O चार्लोट:O से:O लास:B-toloc.city_name वेगास:I-toloc.city_name के:O लिए:O एक:O उड़ान:O की:O तलाश:O कर:O रहा:O हूं:O जो:O सेंट:O में:O रुकती:O हो।:O
6,okay:O and:O then:O from:O pittsburgh:B-fromloc.city_name i'd:O like:O to:O travel:O to:O atlanta:B-toloc.city_name on:O september:B-depart_date.month_name fourth:B-depart_date.day_number,atis_flight,okay and then from pittsburgh i'd like to travel to atlanta on september fourth,ठीक है और फिर मैं 4 सितंबर को पिट्सबर्ग से अटलांटा की यात्रा करना चाहूँगा,ठीक:O है:O और:O फिर:O मैं:O 4:B-arrive_time.start_time सितंबर:O को:O पिट्सबर्ग:B-fromloc.city_name से:O अटलांटा:B-toloc.city_name की:O यात्रा:I-round_trip करना:O चाहूँगा:O
7,show:O me:O all:O the:O flights:O from:O philadelphia:B-fromloc.city_name to:O cincinnati:B-toloc.city_name,atis_flight,show me all the flights from philadelphia to cincinnati,मुझे फिलाडेल्फिया से सिनसिनाटी तक की सभी उड़ानें दिखाओ,मुझे:O फिलाडेल्फिया:O से:O सिनसिनाटी:B-fromloc.city_name तक:O की:O सभी:O उड़ानें:O दिखाओ:O
8,okay:O i'd:O like:O a:O flight:O on:O us:B-airline_name air:I-airline_name from:O indianapolis:B-fromloc.city_name to:O san:B-toloc.city_name diego:I-toloc.city_name in:O the:O afternoon:B-depart_time.period_of_day what's:O available:O,atis_flight,okay i'd like a flight on us air from indianapolis to san diego in the afternoon what's available,"ठीक है, मुझे दोपहर में इंडियानापोलिस से सैन डिएगो के लिए अमेरिकी हवाई उड़ान चाहिए, जो उपलब्ध है","ठीक:O है,:O मुझे:O दोपहर:B-depart_time.period_of_day में:O इंडियानापोलिस:B-toloc.city_name से:O सैन:B-toloc.city_name डिएगो:I-toloc.city_name के:O लिए:O अमेरिकी:B-airline_name हवाई:O उड़ान:O चाहिए,:O जो:O उपलब्ध:O है:O"
9,on:O tuesday:B-depart_date.day_name what:O flights:O leave:O phoenix:B-fromloc.city_name to:O st.:B-toloc.city_name paul:I-toloc.city_name minnesota:B-toloc.state_name and:O leave:O after:B-depart_time.time_relative noon:B-depart_time.time,atis_flight,on tuesday what flights leave phoenix to st. paul minnesota and leave after noon,मंगलवार को फीनिक्स से सेंट तक कौन सी उड़ानें रवाना होती हैं। ,मंगलवार:B-depart_date.day_name को:O फीनिक्स:O से:O सेंट:O तक:O कौन:O सी:B-fare_basis_code उड़ानें:O रवाना:O होती:O हैं।:O
