BOS मैं बाल्टीमोर से डलास तक की राउंड ट्रिप के लिए उड़ान भरना चाहता हूं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip atis_flight
BOS बाल्टीमोर से फिलाडेल्फिया तक राउंड ट्रिप का किराया 1000 डॉलर से कम, डेनवर से फिलाडेल्फिया तक राउंड ट्रिप का किराया 1000 डॉलर से कम, पिट्सबर्ग से फिलाडेल्फिया तक राउंड ट्रिप का किराया 1000 डॉलर से कम EOS\t	B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount atis_airfare
BOS मुझे चौदह जून को बाल्टीमोर आने वाली उड़ानें दिखाओ EOS\t	O O O O O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number atis_flight
BOS वे कौन सी उड़ानें हैं जो सैन फ्रांसिस्को से इंडियानापोलिस होते हुए वाशिंगटन के लिए उड़ान भरती हैं और रात 9 बजे तक पहुंचती हैं EOS\t	O O O O O O O B-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name O B-stoploc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time atis_flight
BOS कौन सी एयरलाइंस अन्य शहरों से होते हुए बोस्टन से वाशिंगटन डीसी तक उड़ान भरती हैं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O atis_airline
BOS मैं चार्लोट से लास वेगास के लिए एक उड़ान की तलाश कर रहा हूं जो सेंट में रुकती हो।  EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name I-stoploc.city_name O O B-meal_description O O O O O O O atis_flight
BOS ठीक है और फिर मैं 4 सितंबर को पिट्सबर्ग से अटलांटा की यात्रा करना चाहूँगा EOS\t	O O O O B-fromloc.city_name O O O O O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight
BOS मुझे फिलाडेल्फिया से सिनसिनाटी तक की सभी उड़ानें दिखाओ EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS ठीक है, मुझे दोपहर में इंडियानापोलिस से सैन डिएगो के लिए अमेरिकी हवाई उड़ान चाहिए, जो उपलब्ध है EOS\t	O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.period_of_day O O atis_flight
BOS मंगलवार को फीनिक्स से सेंट तक कौन सी उड़ानें रवाना होती हैं।  EOS\t	O B-depart_date.day_name O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-toloc.state_name O O B-depart_time.time_relative B-depart_time.time atis_flight
BOS सुबह शिकागो से लॉस एंजिल्स के लिए अमेरिकी उड़ानें EOS\t	B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.period_of_day atis_flight
BOS सैन फ्रांसिस्को हवाई अड्डे के लिए किस प्रकार का जमीनी परिवहन मौजूद है? EOS\t	O O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name atis_ground_service
BOS अगले दो दिनों में मैं नैशविले से सैन जोस या टैकोमा के लिए उड़ान भरना चाहता हूं EOS\t	O O B-depart_date.date_relative O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-or O B-toloc.city_name atis_flight
BOS क्या कॉन्टिनेंटल एयरलाइंस डेनवर से सैन फ्रांसिस्को तक उड़ान भरती है EOS\t	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS शिकागो से मिल्वौकी EOS\t	B-fromloc.city_name O B-toloc.city_name atis_flight
BOS बिजनेस क्लास में TWA की कितनी उड़ानें हैं? EOS\t	O O O O B-airline_code O O B-class_type I-class_type atis_quantity
BOS मुझे प्रथम श्रेणी में डलास से बाल्टीमोर तक की उड़ानें दिखाओ EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O B-class_type I-class_type atis_flight
BOS मैं बोस्टन से फ़िलाडेल्फ़िया तक का एक तरफ़ा किराया सबसे कम महँगा खोजना चाहूँगा EOS\t	O O O O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS कितनी बुकिंग क्लास हैं EOS\t	O O O O O O atis_quantity
BOS उन्नीसवीं बुधवार को टैकोमा से सैन जोस के लिए कौन सी उड़ानें हैं? EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-depart_date.day_number atis_flight
BOS कौन सी उड़ानें 5 जुलाई को शाम 7 बजे के बाद पिट्सबर्ग से प्रस्थान करती हैं और सैन फ्रांसिस्को पहुंचती हैं EOS\t	O O O B-fromloc.city_name B-depart_date.month_name B-depart_date.day_number B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O B-toloc.city_name I-toloc.city_name atis_flight
BOS कृपया जनरल मिशेल इंटरनेशनल से आने वाली और प्रस्थान करने वाली सभी उड़ानों की सूची बनाएं EOS\t	O O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name atis_flight
BOS डेनवर किस समय क्षेत्र में है EOS\t	O O O O B-city_name O atis_city
BOS मुझे बोस्टन और बाल्टीमोर में जमीनी परिवहन दिखाओ EOS\t	O O O O O B-city_name O O B-city_name atis_ground_service
BOS मैं बाल्टीमोर से बोस्टन के लिए पहली उड़ान ढूँढना चाहता हूँ जो भोजन परोसती हो EOS\t	O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O O B-meal atis_flight
BOS सिएटल से साल्ट लेक सिटी तक EOS\t	O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name atis_flight
BOS क्या आप मुझे किफायती किराये के साथ डलास से बाल्टीमोर तक की उड़ानें दिखा सकते हैं EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-economy O atis_flight
BOS फ़ीनिक्स से कौन सी उड़ानें रवाना होती हैं EOS\t	O O O O B-fromloc.city_name atis_flight
BOS पिट्सबर्ग से डेनवर तक कौन सी उड़ानें हैं? EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS हमारे हवाई जहाज़ पर मियामी से क्लीवलैंड जाने वाली उड़ानें दिखाएँ जो दोपहर के बाद रवाना होती हैं EOS\t	O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O B-depart_time.time_relative B-depart_time.time atis_flight
BOS कृपया मुझे डलास और बाल्टीमोर के बीच सभी उड़ानों और उनकी लागत की एक सूची दें EOS\t	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O atis_flight;atis_airfare
BOS किराया कोड y का क्या मतलब है EOS\t	O O O O B-fare_basis_code O atis_abbreviation
BOS फीनिक्स में जमीनी परिवहन EOS\t	O O O B-city_name atis_ground_service
